symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,return_10d,return_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
GARAN,2025-09-11,58,<70,16,Orta,0,Düşük,15,Yüksek,10,Orta,17,Yüksek,0,Düşük,137.8000030517578,127.71484261372059,10.304787107231524,7.31869391486822,1.4080090282634905,4.20900067003578,3.410737913029555,-5.660379447762511,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-09-18,72,70-79,30,Yüksek,20,Orta,0,Düşük,10,Orta,12,Orta,0,Düşük,143.60000610351562,133.108224659957,5.849577673714824,7.306254176615788,0.8006260844903035,-0.7660209308923522,-2.1587785318622843,-16.086354541561604,TARGET,3.0,TARGET,5.0,STOP,-7.306254176615788
GARAN,2025-09-25,76,70-79,30,Yüksek,17,Orta,0,Düşük,10,Orta,12,Orta,7,Orta,142.5,132.10320689704034,7.719298245614035,7.295995159971694,1.0580185535161435,-1.4035087719298245,-8.771929824561402,-11.4385986328125,TARGET,3.0,STOP,-7.295995159971694,STOP,-7.295995159971694
GARAN,2025-10-02,57,<70,16,Orta,7,Düşük,0,Düşük,10,Orta,17,Yüksek,7,Orta,140.5,130.04484923694724,9.252669039145907,7.44138844345392,1.2434062687972356,-7.473309608540925,-14.23487544483986,-4.199283912088523,STOP,-7.44138844345392,STOP,-7.44138844345392,STOP,-7.44138844345392
GARAN,2025-10-09,38,<70,8,Düşük,0,Düşük,0,Düşük,10,Orta,20,Yüksek,0,Düşük,130.0,119.95469216006244,18.076923076923077,7.727159876875049,2.339400680840266,-7.307692307692308,-2.923079270582933,2.6923076923076925,STOP,-7.727159876875049,STOP,-7.727159876875049,STOP,-7.727159876875049
GARAN,2025-10-16,60,<70,8,Düşük,10,Düşük,17,Yüksek,5,Düşük,20,Yüksek,0,Düşük,120.5,110.65543753838989,27.385892116182575,8.169761378929552,3.3521042838304815,4.730287923852438,11.701249878436204,7.219914479869035,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-10-23,64,<70,11,Orta,17,Orta,12,Orta,10,Orta,14,Yüksek,0,Düşük,126.19999694824219,116.69599238902798,16.56102191812656,7.530907122852025,2.19907398245203,6.656108841839746,5.784471654743168,5.546751322720615,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-10-31,68,<70,14,Orta,22,Yüksek,14,Yüksek,10,Orta,8,Orta,0,Düşük,134.60000610351562,125.0239332659559,5.274881517662218,7.114466867256406,0.7414303300700311,-0.8172407530722199,-4.0118936927242785,3.194641603256539,TARGET,3.0,STOP,-7.114466867256406,STOP,-7.114466867256406
GARAN,2025-11-07,61,<70,19,Orta,20,Orta,0,Düşük,10,Orta,5,Düşük,7,Orta,133.5,124.28337768002079,4.044939248302903,6.9038369438046505,0.5858972744037272,-3.2209760687324436,-0.22472138708450376,5.992509363295881,STOP,-6.9038369438046505,STOP,-6.9038369438046505,STOP,-6.9038369438046505
GARAN,2025-11-14,45,<70,8,Düşük,14,Orta,5,Düşük,10,Orta,8,Orta,0,Düşük,129.1999969482422,120.30898650072437,7.507737753374738,6.881587196228475,1.0909892644373425,3.0959753053263683,7.507737753374738,8.668728492872125,TARGET,3.0,TARGET,5.0,TARGET,8.0
